| network_model                | SparseGuidedDepth                                   |
| silog    | 0.104854  |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_36.pth 
| d1       | 0.953658  |
| d2       | 0.992408  |
| d3       | 0.99819   |
| abs_rel  | 0.0757137 |
| sq_rel   | 0.25289   |
| rmse     | 2.49822   |
| rmse_log | 0.10634   |
| log10    | 0.0315195 |
| silog    | 0.104075  |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_37.pth 
| d1       | 0.953433  |
| d2       | 0.992776  |
| d3       | 0.998303  |
| abs_rel  | 0.0760375 |
| sq_rel   | 0.24191   |
| rmse     | 2.48381   |
| rmse_log | 0.106151  |
| log10    | 0.0318689 |
| silog    | 0.104061  |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_44.pth 
| d1       | 0.959982  |
| d2       | 0.993102  |
| d3       | 0.998219  |
| abs_rel  | 0.0756281 |
| sq_rel   | 0.251494  |
| rmse     | 2.46793   |
| rmse_log | 0.104168  |
| log10    | 0.0314354 |
| silog    | 0.10067   |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_45.pth 
| d1       | 0.96371   |
| d2       | 0.993972  |
| d3       | 0.998524  |
| abs_rel  | 0.0698517 |
| sq_rel   | 0.2141    |
| rmse     | 2.301     |
| rmse_log | 0.0982542 |
| log10    | 0.029391  |
| silog    | 0.0955839 |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_46.pth 
| d1       | 0.964719  |
| d2       | 0.99434   |
| d3       | 0.998645  |
| abs_rel  | 0.0672951 |
| sq_rel   | 0.20295   |
| rmse     | 2.2811    |
| rmse_log | 0.0960827 |
| log10    | 0.0285492 |
| silog    | 0.0938498 |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_50.pth 
| d1       | 0.966772  |
| d2       | 0.994535  |
| d3       | 0.998696  |
| abs_rel  | 0.0633007 |
| sq_rel   | 0.199006  |
| rmse     | 2.27069   |
| rmse_log | 0.0923042 |
| log10    | 0.0267154 |
| silog    | 0.0907997 |
