| network_model                | GuideDepth                        |
| sq_rel   | 0.472445  |
| rmse     | 2.7382    |
| rmse_log | 0.214159  |
| log10    | 0.0555713 |
| silog    | 0.206399  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_47.pth 
| d1       | 0.80273   |
| d2       | 0.901129  |
| d3       | 0.98604   |
| abs_rel  | 0.109097  |
| sq_rel   | 0.471789  |
| rmse     | 2.73754   |
| rmse_log | 0.21359   |
| log10    | 0.0552558 |
| silog    | 0.205826  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_48.pth 
| d1       | 0.804011  |
| d2       | 0.901218  |
| d3       | 0.98604   |
| abs_rel  | 0.10842   |
| sq_rel   | 0.47117   |
| rmse     | 2.73696   |
| rmse_log | 0.213069  |
| log10    | 0.0549438 |
| silog    | 0.205282  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_49.pth 
| d1       | 0.805659  |
| d2       | 0.901277  |
| d3       | 0.98604   |
| abs_rel  | 0.10762   |
| sq_rel   | 0.470482  |
| rmse     | 2.7363    |
| rmse_log | 0.212566  |
| log10    | 0.0545855 |
| silog    | 0.204699  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_50.pth 
| d1       | 0.808892  |
| d2       | 0.901335  |
| d3       | 0.98604   |
| abs_rel  | 0.106722  |
| sq_rel   | 0.469759  |
| rmse     | 2.73559   |
| rmse_log | 0.212091  |
| log10    | 0.0541926 |
| silog    | 0.20409   |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_51.pth 
| d1       | 0.809963  |
| d2       | 0.901378  |
| d3       | 0.98604   |
| abs_rel  | 0.105833  |
| sq_rel   | 0.469119  |
| rmse     | 2.73499   |
| rmse_log | 0.211677  |
| log10    | 0.0538089 |
| silog    | 0.203526  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_52.pth 
| d1       | 0.81023   |
| d2       | 0.901446  |
| d3       | 0.986039  |
| abs_rel  | 0.10499   |
| sq_rel   | 0.468596  |
| rmse     | 2.73455   |
| rmse_log | 0.211324  |
| log10    | 0.0534472 |
| silog    | 0.203045  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_53.pth 
| d1       | 0.810259  |
| d2       | 0.901492  |
| d3       | 0.986039  |
| abs_rel  | 0.104271  |
