| network_model                | AuxSparseGuidedDepth                                                       |
New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_60.pth 
| d1       | 0.93767   |
| d2       | 0.987916  |
| d3       | 0.996927  |
| abs_rel  | 0.0762145 |
| sq_rel   | 0.379783  |
| rmse     | 3.43848   |
| rmse_log | 0.11759   |
| log10    | 0.0328618 |
| silog    | 0.114701  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_61.pth 
| d1       | 0.934102  |
| d2       | 0.9862    |
| d3       | 0.996181  |
| abs_rel  | 0.0816299 |
| sq_rel   | 0.45432   |
| rmse     | 3.43809   |
| rmse_log | 0.120644  |
| log10    | 0.0331606 |
| silog    | 0.117099  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_62.pth 
| d1       | 0.938043  |
| d2       | 0.988034  |
| d3       | 0.996956  |
| abs_rel  | 0.0759107 |
| sq_rel   | 0.377798  |
| rmse     | 3.42698   |
| rmse_log | 0.117112  |
| log10    | 0.0326874 |
| silog    | 0.114305  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_63.pth 
| d1       | 0.934929  |
| d2       | 0.986373  |
| d3       | 0.996241  |
| abs_rel  | 0.0810409 |
| sq_rel   | 0.449741  |
| rmse     | 3.42565   |
| rmse_log | 0.120054  |
| log10    | 0.0329645 |
| silog    | 0.116614  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_64.pth 
| d1       | 0.938477  |
| d2       | 0.988164  |
| d3       | 0.996983  |
| abs_rel  | 0.0756062 |
| sq_rel   | 0.375621  |
| rmse     | 3.414     |
| rmse_log | 0.116672  |
| log10    | 0.0325364 |
| silog    | 0.113909  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_65.pth 
| d1       | 0.935532  |
| d2       | 0.986531  |
| d3       | 0.996288  |
| abs_rel  | 0.0805894 |
| sq_rel   | 0.445489  |
| rmse     | 3.41075   |
| rmse_log | 0.119533  |
| log10    | 0.0327987 |
| silog    | 0.116136  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_66.pth 
| d1       | 0.939104  |
| d2       | 0.988316  |
| d3       | 0.997016  |
| abs_rel  | 0.0752148 |
| sq_rel   | 0.372776  |
| rmse     | 3.39721   |
| rmse_log | 0.116181  |
| log10    | 0.03237   |
| silog    | 0.113443  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_67.pth 
| d1       | 0.935939  |
| d2       | 0.986667  |
| d3       | 0.996318  |
| abs_rel  | 0.0802803 |
| sq_rel   | 0.44197   |
| rmse     | 3.39563   |
| rmse_log | 0.119115  |
| log10    | 0.0326699 |
| silog    | 0.115712  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_68.pth 
| d1       | 0.939769  |
| d2       | 0.988456  |
| d3       | 0.997036  |
| abs_rel  | 0.0748235 |
| sq_rel   | 0.369786  |
| rmse     | 3.3805    |
| rmse_log | 0.115742  |
| log10    | 0.0322283 |
| silog    | 0.112998  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_70.pth 
| d1       | 0.940358  |
| d2       | 0.988567  |
| d3       | 0.997056  |
| abs_rel  | 0.0744715 |
| sq_rel   | 0.366902  |
| rmse     | 3.36641   |
| rmse_log | 0.115393  |
| log10    | 0.032123  |
| silog    | 0.112622  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_72.pth 
| d1       | 0.940795  |
| d2       | 0.988662  |
| d3       | 0.99707   |
| abs_rel  | 0.0741761 |
| sq_rel   | 0.364352  |
| rmse     | 3.35689   |
| rmse_log | 0.115128  |
| log10    | 0.0320474 |
| silog    | 0.112321  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_74.pth 
| d1       | 0.941172  |
| d2       | 0.988746  |
| d3       | 0.997096  |
| abs_rel  | 0.0739027 |
| sq_rel   | 0.362104  |
| rmse     | 3.34873   |
| rmse_log | 0.114855  |
| log10    | 0.031963  |
| silog    | 0.112032  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_76.pth 
| d1       | 0.941525  |
| d2       | 0.988847  |
| d3       | 0.997121  |
| abs_rel  | 0.0736424 |
| sq_rel   | 0.360035  |
| rmse     | 3.33923   |
| rmse_log | 0.114509  |
| log10    | 0.0318524 |
| silog    | 0.111701  |

