| network_model                | AuxSparseGuidedDepth                      |
| abs_rel  | 0.0231496 |
| sq_rel   | 0.0375824 |
| rmse     | 1.137     |
| rmse_log | 0.0361572 |
| log10    | 0.0100487 |
| silog    | 0.0360212 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_31.pth 
| d1       | 0.997315  |
| d2       | 0.99993   |
| d3       | 0.999994  |
| abs_rel  | 0.0231195 |
| sq_rel   | 0.0375313 |
| rmse     | 1.1367    |
| rmse_log | 0.0361306 |
| log10    | 0.0100371 |
| silog    | 0.035986  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_32.pth 
| d1       | 0.997307  |
| d2       | 0.99993   |
| d3       | 0.999994  |
| abs_rel  | 0.0231083 |
| sq_rel   | 0.0375205 |
| rmse     | 1.13643   |
| rmse_log | 0.0361159 |
| log10    | 0.0100312 |
| silog    | 0.0359715 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_33.pth 
| d1       | 0.997307  |
| d2       | 0.99993   |
| d3       | 0.999994  |
| abs_rel  | 0.023112  |
| sq_rel   | 0.0375379 |
| rmse     | 1.13628   |
| rmse_log | 0.0361104 |
| log10    | 0.0100302 |
| silog    | 0.035973  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_34.pth 
| d1       | 0.99731   |
| d2       | 0.99993   |
| d3       | 0.999994  |
| abs_rel  | 0.0231215 |
| sq_rel   | 0.0375585 |
| rmse     | 1.13619   |
| rmse_log | 0.0361094 |
| log10    | 0.010032  |
| silog    | 0.0359797 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_35.pth 
| d1       | 0.997324  |
| d2       | 0.99993   |
| d3       | 0.999994  |
| abs_rel  | 0.0231253 |
| sq_rel   | 0.0375527 |
| rmse     | 1.1359    |
| rmse_log | 0.036105  |
| log10    | 0.010033  |
| silog    | 0.0359794 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_36.pth 
| d1       | 0.9973    |
| d2       | 0.99993   |
| d3       | 0.999994  |
| abs_rel  | 0.0231192 |
| sq_rel   | 0.0375158 |
| rmse     | 1.13542   |
| rmse_log | 0.0360944 |
| log10    | 0.0100315 |
| silog    | 0.0359675 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_37.pth 
| d1       | 0.997314  |
| d2       | 0.99993   |
| d3       | 1         |
| abs_rel  | 0.0231078 |
| sq_rel   | 0.0374671 |
| rmse     | 1.13493   |
| rmse_log | 0.0360804 |
| log10    | 0.0100286 |
| silog    | 0.0359489 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_38.pth 
| d1       | 0.997314  |
| d2       | 0.99993   |
| d3       | 1         |
| abs_rel  | 0.0230953 |
| sq_rel   | 0.0374257 |
| rmse     | 1.1345    |
| rmse_log | 0.0360653 |
| log10    | 0.0100247 |
| silog    | 0.0359298 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_39.pth 
| d1       | 0.997314  |
| d2       | 0.99993   |
| d3       | 1         |
| abs_rel  | 0.0230826 |
| sq_rel   | 0.0374003 |
| rmse     | 1.13413   |
| rmse_log | 0.036049  |
| log10    | 0.0100191 |
| silog    | 0.0359135 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_40.pth 
| d1       | 0.997322  |
| d2       | 0.99993   |
| d3       | 1         |
| abs_rel  | 0.0230699 |
| sq_rel   | 0.0373914 |
| rmse     | 1.13389   |
| rmse_log | 0.0360327 |
| log10    | 0.0100122 |
| silog    | 0.0359004 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_41.pth 
| d1       | 0.997315  |
| d2       | 0.99993   |
| d3       | 1         |
| abs_rel  | 0.0230551 |
| sq_rel   | 0.0373861 |
| rmse     | 1.13377   |
| rmse_log | 0.0360159 |
| log10    | 0.0100044 |
| silog    | 0.035887  |

