| network_model                | AuxGuideDepth                     |
New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_26.pth 
| d1       | 0.16809  |
| d2       | 0.448928 |
| d3       | 0.657309 |
| abs_rel  | 1.04949  |
| sq_rel   | 1.20845  |
| rmse     | 0.931867 |
| rmse_log | 0.662306 |
| log10    | 0.267461 |
| silog    | 0.504813 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_27.pth 
| d1       | 0.179326 |
| d2       | 0.479749 |
| d3       | 0.667536 |
| abs_rel  | 1.00519  |
| sq_rel   | 1.12035  |
| rmse     | 0.900669 |
| rmse_log | 0.643176 |
| log10    | 0.258896 |
| silog    | 0.491711 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_28.pth 
| d1       | 0.190568 |
| d2       | 0.506159 |
| d3       | 0.675967 |
| abs_rel  | 0.966742 |
| sq_rel   | 1.04855  |
| rmse     | 0.874299 |
| rmse_log | 0.626202 |
| log10    | 0.251289 |
| silog    | 0.480181 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_29.pth 
| d1       | 0.204128 |
| d2       | 0.528042 |
| d3       | 0.683544 |
| abs_rel  | 0.932077 |
| sq_rel   | 0.986884 |
| rmse     | 0.850874 |
| rmse_log | 0.610608 |
| log10    | 0.244286 |
| silog    | 0.469649 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_30.pth 
| d1       | 0.219196 |
| d2       | 0.547199 |
| d3       | 0.690696 |
| abs_rel  | 0.899513 |
| sq_rel   | 0.93049  |
| rmse     | 0.829104 |
| rmse_log | 0.595817 |
| log10    | 0.23765  |
| silog    | 0.459664 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_31.pth 
| d1       | 0.235211 |
| d2       | 0.563254 |
| d3       | 0.697394 |
| abs_rel  | 0.86897  |
| sq_rel   | 0.878781 |
| rmse     | 0.809416 |
| rmse_log | 0.581883 |
| log10    | 0.231373 |
| silog    | 0.450351 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_32.pth 
| d1       | 0.251838 |
| d2       | 0.5769   |
| d3       | 0.703519 |
| abs_rel  | 0.840597 |
| sq_rel   | 0.831854 |
| rmse     | 0.790953 |
| rmse_log | 0.568796 |
| log10    | 0.225491 |
| silog    | 0.441584 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_33.pth 
| d1       | 0.26765  |
| d2       | 0.587903 |
| d3       | 0.708948 |
| abs_rel  | 0.81535  |
| sq_rel   | 0.792281 |
| rmse     | 0.77555  |
| rmse_log | 0.557038 |
| log10    | 0.220136 |
| silog    | 0.433826 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_34.pth 
| d1       | 0.284124 |
| d2       | 0.597855 |
| d3       | 0.71497  |
| abs_rel  | 0.791958 |
| sq_rel   | 0.757354 |
| rmse     | 0.760587 |
| rmse_log | 0.545935 |
| log10    | 0.215059 |
| silog    | 0.426559 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_35.pth 
| d1       | 0.299912 |
| d2       | 0.60558  |
| d3       | 0.719675 |
| abs_rel  | 0.773621 |
| sq_rel   | 0.734656 |
| rmse     | 0.751195 |
| rmse_log | 0.536993 |
| log10    | 0.210794 |
| silog    | 0.420876 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_36.pth 
| d1       | 0.315458 |
| d2       | 0.61347  |
| d3       | 0.725386 |
| abs_rel  | 0.751709 |
| sq_rel   | 0.700746 |
| rmse     | 0.737319 |
| rmse_log | 0.526762 |
| log10    | 0.206146 |
| silog    | 0.414085 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_38.pth 
| d1       | 0.353374 |
| d2       | 0.624258 |
| d3       | 0.735967 |
| abs_rel  | 0.725555 |
| sq_rel   | 0.680265 |
| rmse     | 0.727109 |
| rmse_log | 0.512995 |
| log10    | 0.199329 |
| silog    | 0.405254 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_43.pth 
| d1       | 0.430659 |
| d2       | 0.644582 |
| d3       | 0.764039 |
| abs_rel  | 0.670343 |
| sq_rel   | 0.640486 |
| rmse     | 0.712445 |
| rmse_log | 0.485766 |
| log10    | 0.184983 |
| silog    | 0.388016 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_44.pth 
| d1       | 0.444373 |
| d2       | 0.649925 |
| d3       | 0.76913  |
| abs_rel  | 0.654871 |
| sq_rel   | 0.613953 |
| rmse     | 0.700014 |
| rmse_log | 0.477935 |
| log10    | 0.181669 |
| silog    | 0.382381 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_45.pth 
| d1       | 0.45676  |
| d2       | 0.654196 |
| d3       | 0.773503 |
| abs_rel  | 0.643239 |
| sq_rel   | 0.598678 |
| rmse     | 0.691682 |
| rmse_log | 0.471908 |
| log10    | 0.178915 |
| silog    | 0.378291 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_46.pth 
| d1       | 0.467778 |
| d2       | 0.657692 |
| d3       | 0.777274 |
| abs_rel  | 0.633408 |
| sq_rel   | 0.587603 |
| rmse     | 0.684975 |
| rmse_log | 0.466794 |
| log10    | 0.176462 |
| silog    | 0.374987 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_47.pth 
| d1       | 0.478935 |
| d2       | 0.660315 |
| d3       | 0.780302 |
| abs_rel  | 0.62469  |
| sq_rel   | 0.578192 |
| rmse     | 0.679556 |
| rmse_log | 0.462294 |
| log10    | 0.174222 |
| silog    | 0.372195 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_48.pth 
| d1       | 0.488769 |
| d2       | 0.662748 |
| d3       | 0.783321 |
| abs_rel  | 0.615758 |
| sq_rel   | 0.567501 |
| rmse     | 0.674459 |
| rmse_log | 0.457819 |
| log10    | 0.172004 |
| silog    | 0.369398 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_49.pth 
| d1       | 0.497664 |
| d2       | 0.665152 |
| d3       | 0.786171 |
| abs_rel  | 0.606548 |
| sq_rel   | 0.556968 |
| rmse     | 0.670273 |
| rmse_log | 0.453378 |
| log10    | 0.169752 |
| silog    | 0.366688 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_50.pth 
| d1       | 0.505317 |
| d2       | 0.667599 |
| d3       | 0.789097 |
| abs_rel  | 0.596586 |
| sq_rel   | 0.544757 |
| rmse     | 0.666395 |
| rmse_log | 0.448744 |
| log10    | 0.167434 |
| silog    | 0.363776 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_51.pth 
| d1       | 0.511451 |
| d2       | 0.669695 |
| d3       | 0.79167  |
| abs_rel  | 0.58821  |
| sq_rel   | 0.536844 |
| rmse     | 0.665601 |
| rmse_log | 0.445038 |
| log10    | 0.165423 |
| silog    | 0.361598 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_52.pth 
| d1       | 0.516426 |
| d2       | 0.672252 |
| d3       | 0.794709 |
| abs_rel  | 0.577864 |
| sq_rel   | 0.522397 |
| rmse     | 0.662366 |
| rmse_log | 0.440464 |
| log10    | 0.163195 |
| silog    | 0.358595 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_54.pth 
| d1       | 0.525054 |
| d2       | 0.678035 |
| d3       | 0.801688 |
| abs_rel  | 0.557832 |
| sq_rel   | 0.500674 |
| rmse     | 0.661871 |
| rmse_log | 0.431861 |
| log10    | 0.158738 |
| silog    | 0.353213 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_61.pth 
| d1       | 0.545884 |
| d2       | 0.698089 |
| d3       | 0.81657  |
| abs_rel  | 0.52181  |
| sq_rel   | 0.45193  |
| rmse     | 0.630188 |
| rmse_log | 0.413955 |
| log10    | 0.149762 |
| silog    | 0.342288 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_62.pth 
| d1       | 0.547744 |
| d2       | 0.697009 |
| d3       | 0.81334  |
| abs_rel  | 0.525258 |
| sq_rel   | 0.444885 |
| rmse     | 0.619971 |
| rmse_log | 0.414267 |
| log10    | 0.150336 |
| silog    | 0.342011 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_63.pth 
| d1       | 0.54809  |
| d2       | 0.697785 |
| d3       | 0.81494  |
| abs_rel  | 0.522372 |
| sq_rel   | 0.444469 |
| rmse     | 0.618336 |
| rmse_log | 0.412951 |
| log10    | 0.149413 |
| silog    | 0.341192 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_74.pth 
| d1       | 0.568369 |
| d2       | 0.711358 |
| d3       | 0.825039 |
| abs_rel  | 0.4932   |
| sq_rel   | 0.424045 |
| rmse     | 0.616641 |
| rmse_log | 0.401589 |
| log10    | 0.141944 |
| silog    | 0.336464 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_75.pth 
| d1       | 0.572186 |
| d2       | 0.71586  |
| d3       | 0.827613 |
| abs_rel  | 0.488635 |
| sq_rel   | 0.413311 |
| rmse     | 0.606075 |
| rmse_log | 0.398667 |
| log10    | 0.140742 |
| silog    | 0.334434 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_84.pth 
| d1       | 0.58498  |
| d2       | 0.740308 |
| d3       | 0.843966 |
| abs_rel  | 0.443834 |
| sq_rel   | 0.371903 |
| rmse     | 0.601416 |
| rmse_log | 0.379992 |
| log10    | 0.130792 |
| silog    | 0.32471  |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_88.pth 
| d1       | 0.580857 |
| d2       | 0.732793 |
| d3       | 0.838356 |
| abs_rel  | 0.466111 |
| sq_rel   | 0.38198  |
| rmse     | 0.588019 |
| rmse_log | 0.386688 |
| log10    | 0.135416 |
| silog    | 0.325934 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_96.pth 
| d1       | 0.582579 |
| d2       | 0.731372 |
| d3       | 0.840451 |
| abs_rel  | 0.459065 |
| sq_rel   | 0.38055  |
| rmse     | 0.58642  |
| rmse_log | 0.384581 |
| log10    | 0.133812 |
| silog    | 0.327273 |
