| network_model                | AuxSparseGuidedDepth              |
| sq_rel   | 0.547085 |
| rmse     | 0.751411 |
| rmse_log | 0.483559 |
| log10    | 0.181381 |
| silog    | 0.391514 |

New model saved: weights/2022_07_04-10_41_44_AM/AuxSparseGuidedDepth_90.pth 
| d1       | 0.420529 |
| d2       | 0.631853 |
| d3       | 0.767315 |
| abs_rel  | 0.622073 |
| sq_rel   | 0.525895 |
| rmse     | 0.73651  |
| rmse_log | 0.480509 |
| log10    | 0.179475 |
| silog    | 0.390459 |

New model saved: weights/2022_07_04-10_41_44_AM/AuxSparseGuidedDepth_92.pth 
| d1       | 0.427441 |
| d2       | 0.636732 |
| d3       | 0.771912 |
| abs_rel  | 0.610191 |
| sq_rel   | 0.511914 |
| rmse     | 0.736129 |
| rmse_log | 0.474233 |
| log10    | 0.176862 |
| silog    | 0.385495 |

New model saved: weights/2022_07_04-10_41_44_AM/AuxSparseGuidedDepth_95.pth 
| d1       | 0.431143 |
| d2       | 0.641045 |
| d3       | 0.775447 |
| abs_rel  | 0.60442  |
| sq_rel   | 0.507657 |
| rmse     | 0.733236 |
| rmse_log | 0.471207 |
| log10    | 0.175397 |
| silog    | 0.383531 |
