| network_model                | AuxSparseGuidedDepth                                      |
| rmse_log | 0.155185  |
| log10    | 0.0459347 |
| silog    | 0.150201  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_69.pth 
| d1       | 0.885516  |
| d2       | 0.974292  |
| d3       | 0.99342   |
| abs_rel  | 0.113479  |
| sq_rel   | 0.693119  |
| rmse     | 4.17935   |
| rmse_log | 0.153745  |
| log10    | 0.0454111 |
| silog    | 0.148841  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_71.pth 
| d1       | 0.887836 |
| d2       | 0.974951 |
| d3       | 0.993573 |
| abs_rel  | 0.112019 |
| sq_rel   | 0.68071  |
| rmse     | 4.14763  |
| rmse_log | 0.15229  |
| log10    | 0.044882 |
| silog    | 0.147502 |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_73.pth 
| d1       | 0.890018  |
| d2       | 0.97555   |
| d3       | 0.993709  |
| abs_rel  | 0.110639  |
| sq_rel   | 0.668834  |
| rmse     | 4.11649   |
| rmse_log | 0.15092   |
| log10    | 0.0443823 |
| silog    | 0.146246  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_75.pth 
| d1       | 0.89205   |
| d2       | 0.976134  |
| d3       | 0.993849  |
| abs_rel  | 0.109354  |
| sq_rel   | 0.657607  |
| rmse     | 4.08707   |
| rmse_log | 0.149618  |
| log10    | 0.0439202 |
| silog    | 0.145051  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_77.pth 
| d1       | 0.893753  |
| d2       | 0.97659   |
| d3       | 0.993953  |
| abs_rel  | 0.108271  |
| sq_rel   | 0.648338  |
| rmse     | 4.06033   |
| rmse_log | 0.14851   |
| log10    | 0.0435132 |
| silog    | 0.144009  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_79.pth 
| d1       | 0.895126  |
| d2       | 0.976959  |
| d3       | 0.994034  |
| abs_rel  | 0.107371  |
| sq_rel   | 0.640833  |
| rmse     | 4.03672   |
| rmse_log | 0.147574  |
| log10    | 0.0431615 |
| silog    | 0.143106  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_81.pth 
| d1       | 0.89635   |
| d2       | 0.9773    |
| d3       | 0.994112  |
| abs_rel  | 0.10657   |
| sq_rel   | 0.63384   |
| rmse     | 4.01375   |
| rmse_log | 0.146717  |
| log10    | 0.0428414 |
| silog    | 0.142257  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_83.pth 
| d1       | 0.897614  |
| d2       | 0.977643  |
| d3       | 0.994192  |
| abs_rel  | 0.105776  |
| sq_rel   | 0.627153  |
| rmse     | 3.99248   |
| rmse_log | 0.145874  |
| log10    | 0.0425308 |
| silog    | 0.141438  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_85.pth 
| d1       | 0.898827  |
| d2       | 0.977963  |
| d3       | 0.994274  |
| abs_rel  | 0.105047  |
| sq_rel   | 0.621349  |
| rmse     | 3.97372   |
| rmse_log | 0.145092  |
| log10    | 0.0422438 |
| silog    | 0.140672  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_87.pth 
| d1       | 0.900124  |
| d2       | 0.978296  |
| d3       | 0.99436   |
| abs_rel  | 0.104236  |
| sq_rel   | 0.61442   |
| rmse     | 3.95285   |
| rmse_log | 0.144244  |
| log10    | 0.0419396 |
| silog    | 0.13988   |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_89.pth 
| d1       | 0.901522  |
| d2       | 0.978676  |
| d3       | 0.994453  |
| abs_rel  | 0.103384  |
| sq_rel   | 0.606972  |
| rmse     | 3.9319    |
| rmse_log | 0.143353  |
| log10    | 0.0416309 |
| silog    | 0.139059  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_91.pth 
| d1       | 0.903035  |
| d2       | 0.979073  |
| d3       | 0.994555  |
| abs_rel  | 0.102464  |
| sq_rel   | 0.598815  |
| rmse     | 3.91018   |
| rmse_log | 0.142402  |
| log10    | 0.0413069 |
| silog    | 0.138202  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_93.pth 
| d1       | 0.904571  |
| d2       | 0.979442  |
| d3       | 0.994661  |
| abs_rel  | 0.101507  |
| sq_rel   | 0.590724  |
| rmse     | 3.889     |
| rmse_log | 0.141443  |
| log10    | 0.0409749 |
| silog    | 0.137365  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_95.pth 
| d1       | 0.90597  |
| d2       | 0.979783 |
| d3       | 0.994758 |
| abs_rel  | 0.100658 |
| sq_rel   | 0.583256 |
| rmse     | 3.86831  |
| rmse_log | 0.140563 |
| log10    | 0.040674 |
| silog    | 0.136575 |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_97.pth 
| d1       | 0.907063  |
| d2       | 0.980058  |
| d3       | 0.994839  |
| abs_rel  | 0.0999909 |
| sq_rel   | 0.577439  |
| rmse     | 3.85066   |
| rmse_log | 0.139841  |
| log10    | 0.0404273 |
| silog    | 0.1359    |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_99.pth 
| d1       | 0.907922  |
| d2       | 0.980254  |
| d3       | 0.994895  |
| abs_rel  | 0.0994598 |
| sq_rel   | 0.572813  |
| rmse     | 3.83418   |
| rmse_log | 0.139247  |
| log10    | 0.040213  |
| silog    | 0.13531   |
