| network_model                | AuxGuideDepth                              |
| sq_rel   | 2.85399   |
| rmse     | 1.40135   |
| rmse_log | 0.938895  |
| log10    | 0.387952  |
| silog    | 0.699226  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_57.pth 
| d1       | 0.0651548 |
| d2       | 0.175983  |
| d3       | 0.329449  |
| abs_rel  | 1.72594   |
| sq_rel   | 2.75949   |
| rmse     | 1.37811   |
| rmse_log | 0.929121  |
| log10    | 0.38373   |
| silog    | 0.692444  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_58.pth 
| d1       | 0.0687697 |
| d2       | 0.181155  |
| d3       | 0.343063  |
| abs_rel  | 1.69019   |
| sq_rel   | 2.65154   |
| rmse     | 1.35151   |
| rmse_log | 0.917166  |
| log10    | 0.378473  |
| silog    | 0.684334  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_59.pth 
| d1       | 0.0727662 |
| d2       | 0.187473  |
| d3       | 0.355443  |
| abs_rel  | 1.65482   |
| sq_rel   | 2.54367   |
| rmse     | 1.32353   |
| rmse_log | 0.905358  |
| log10    | 0.373267  |
| silog    | 0.676339  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_60.pth 
| d1       | 0.0704513 |
| d2       | 0.186454  |
| d3       | 0.362486  |
| abs_rel  | 1.63914   |
| sq_rel   | 2.49793   |
| rmse     | 1.31813   |
| rmse_log | 0.90126   |
| log10    | 0.371542  |
| silog    | 0.672878  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_61.pth 
| d1       | 0.0845106 |
| d2       | 0.204069  |
| d3       | 0.392281  |
| abs_rel  | 1.57034   |
| sq_rel   | 2.30016   |
| rmse     | 1.25854   |
| rmse_log | 0.876062  |
| log10    | 0.360374  |
| silog    | 0.656264  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_62.pth 
| d1       | 0.0874099 |
| d2       | 0.206357  |
| d3       | 0.405147  |
| abs_rel  | 1.5396    |
| sq_rel   | 2.21209   |
| rmse     | 1.23725   |
| rmse_log | 0.865554  |
| log10    | 0.35594   |
| silog    | 0.647859  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_63.pth 
| d1       | 0.0979026 |
| d2       | 0.21632   |
| d3       | 0.423819  |
| abs_rel  | 1.51901   |
| sq_rel   | 2.1668    |
| rmse     | 1.21741   |
| rmse_log | 0.856483  |
| log10    | 0.351496  |
| silog    | 0.643568  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_64.pth 
| d1       | 0.101416 |
| d2       | 0.222995 |
| d3       | 0.461309 |
| abs_rel  | 1.45096  |
| sq_rel   | 1.99191  |
| rmse     | 1.18354  |
| rmse_log | 0.83322  |
| log10    | 0.341122 |
| silog    | 0.626459 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_66.pth 
| d1       | 0.100756 |
| d2       | 0.22766  |
| d3       | 0.487217 |
| abs_rel  | 1.41656  |
| sq_rel   | 1.92121  |
| rmse     | 1.17794  |
| rmse_log | 0.82101  |
| log10    | 0.33575  |
| silog    | 0.617402 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_68.pth 
| d1       | 0.111412 |
| d2       | 0.242599 |
| d3       | 0.502507 |
| abs_rel  | 1.39987  |
| sq_rel   | 1.88528  |
| rmse     | 1.15599  |
| rmse_log | 0.813165 |
| log10    | 0.332007 |
| silog    | 0.612698 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_69.pth 
| d1       | 0.114202 |
| d2       | 0.250516 |
| d3       | 0.528361 |
| abs_rel  | 1.36707  |
| sq_rel   | 1.81444  |
| rmse     | 1.13616  |
| rmse_log | 0.800696 |
| log10    | 0.32648  |
| silog    | 0.60365  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_70.pth 
| d1       | 0.11624  |
| d2       | 0.255698 |
| d3       | 0.542965 |
| abs_rel  | 1.3503   |
| sq_rel   | 1.77149  |
| rmse     | 1.11637  |
| rmse_log | 0.793528 |
| log10    | 0.32339  |
| silog    | 0.599119 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_71.pth 
| d1       | 0.118401 |
| d2       | 0.260387 |
| d3       | 0.552665 |
| abs_rel  | 1.33712  |
| sq_rel   | 1.74393  |
| rmse     | 1.10745  |
| rmse_log | 0.787887 |
| log10    | 0.32098  |
| silog    | 0.594988 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_72.pth 
| d1       | 0.12221  |
| d2       | 0.271381 |
| d3       | 0.57378  |
