| network_model                | GuideDepth                                             |
| d3       | 0.661135 |
| abs_rel  | 1.07795  |
| sq_rel   | 1.37925  |
| rmse     | 0.971843 |
| rmse_log | 0.661054 |
| log10    | 0.265381 |
| silog    | 0.503877 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_28.pth 
| d1       | 0.20793  |
| d2       | 0.510364 |
| d3       | 0.667931 |
| abs_rel  | 1.04571  |
| sq_rel   | 1.32292  |
| rmse     | 0.954633 |
| rmse_log | 0.647249 |
| log10    | 0.258993 |
| silog    | 0.494725 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_29.pth 
| d1       | 0.221256 |
| d2       | 0.527901 |
| d3       | 0.674507 |
| abs_rel  | 1.01392  |
| sq_rel   | 1.25926  |
| rmse     | 0.929116 |
| rmse_log | 0.633238 |
| log10    | 0.252719 |
| silog    | 0.48534  |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_30.pth 
| d1       | 0.235743 |
| d2       | 0.543286 |
| d3       | 0.679535 |
| abs_rel  | 0.986019 |
| sq_rel   | 1.21281  |
| rmse     | 0.915649 |
| rmse_log | 0.621209 |
| log10    | 0.247013 |
| silog    | 0.477652 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_31.pth 
| d1       | 0.246955 |
| d2       | 0.553723 |
| d3       | 0.683941 |
| abs_rel  | 0.959097 |
| sq_rel   | 1.15992  |
| rmse     | 0.907684 |
| rmse_log | 0.610209 |
| log10    | 0.241993 |
| silog    | 0.470262 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_33.pth 
| d1       | 0.270903 |
| d2       | 0.567608 |
| d3       | 0.686238 |
| abs_rel  | 0.935296 |
| sq_rel   | 1.15407  |
| rmse     | 0.887398 |
| rmse_log | 0.599101 |
| log10    | 0.235979 |
| silog    | 0.464387 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_34.pth 
| d1       | 0.280127 |
| d2       | 0.576942 |
| d3       | 0.693228 |
| abs_rel  | 0.916347 |
| sq_rel   | 1.11174  |
| rmse     | 0.86539  |
| rmse_log | 0.589937 |
| log10    | 0.232146 |
| silog    | 0.458206 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_35.pth 
| d1       | 0.306157 |
| d2       | 0.58801  |
| d3       | 0.70072  |
| abs_rel  | 0.886855 |
| sq_rel   | 1.04227  |
| rmse     | 0.839264 |
| rmse_log | 0.575568 |
| log10    | 0.226074 |
| silog    | 0.448392 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_36.pth 
| d1       | 0.329101 |
| d2       | 0.599029 |
| d3       | 0.709454 |
| abs_rel  | 0.847645 |
| sq_rel   | 0.941553 |
| rmse     | 0.809782 |
| rmse_log | 0.559309 |
| log10    | 0.219124 |
| silog    | 0.437137 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_37.pth 
| d1       | 0.350984 |
| d2       | 0.605774 |
| d3       | 0.714829 |
| abs_rel  | 0.830809 |
| sq_rel   | 0.923425 |
| rmse     | 0.80683  |
| rmse_log | 0.55095  |
| log10    | 0.215099 |
| silog    | 0.431315 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_38.pth 
| d1       | 0.369165 |
| d2       | 0.610933 |
| d3       | 0.71731  |
| abs_rel  | 0.810848 |
| sq_rel   | 0.897612 |
| rmse     | 0.805922 |
| rmse_log | 0.543397 |
| log10    | 0.211023 |
| silog    | 0.42637  |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_39.pth 
| d1       | 0.388444 |
| d2       | 0.616253 |
| d3       | 0.719981 |
| abs_rel  | 0.792261 |
| sq_rel   | 0.873367 |
| rmse     | 0.804815 |
| rmse_log | 0.536119 |
| log10    | 0.207114 |
| silog    | 0.422018 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_45.pth 
| d1       | 0.460311 |
| d2       | 0.627216 |
| d3       | 0.737219 |
| abs_rel  | 0.749205 |
| sq_rel   | 0.91068  |
| rmse     | 0.801453 |
| rmse_log | 0.516237 |
| log10    | 0.19399  |
| silog    | 0.413439 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_47.pth 
| d1       | 0.482462 |
| d2       | 0.635336 |
| d3       | 0.747058 |
| abs_rel  | 0.712452 |
| sq_rel   | 0.811581 |
| rmse     | 0.753565 |
| rmse_log | 0.499111 |
| log10    | 0.187052 |
| silog    | 0.401194 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_48.pth 
| d1       | 0.491306 |
| d2       | 0.643391 |
| d3       | 0.75248  |
| abs_rel  | 0.691234 |
| sq_rel   | 0.744223 |
| rmse     | 0.723015 |
| rmse_log | 0.488174 |
| log10    | 0.183374 |
| silog    | 0.392657 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_60.pth 
| d1       | 0.535588 |
| d2       | 0.67419  |
| d3       | 0.782755 |
| abs_rel  | 0.59999  |
| sq_rel   | 0.681009 |
| rmse     | 0.718595 |
| rmse_log | 0.451061 |
| log10    | 0.161362 |
| silog    | 0.373131 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_63.pth 
| d1       | 0.538987 |
| d2       | 0.679469 |
| d3       | 0.78864  |
| abs_rel  | 0.596369 |
| sq_rel   | 0.674917 |
| rmse     | 0.699238 |
| rmse_log | 0.447422 |
| log10    | 0.160007 |
| silog    | 0.37026  |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_64.pth 
| d1       | 0.54395  |
| d2       | 0.684895 |
| d3       | 0.7903   |
| abs_rel  | 0.580349 |
| sq_rel   | 0.611429 |
| rmse     | 0.672847 |
| rmse_log | 0.439689 |
| log10    | 0.157737 |
| silog    | 0.363954 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_76.pth 
| d1       | 0.554222 |
| d2       | 0.695149 |
| d3       | 0.805524 |
| abs_rel  | 0.544449 |
| sq_rel   | 0.57182  |
| rmse     | 0.660074 |
| rmse_log | 0.424628 |
| log10    | 0.150082 |
| silog    | 0.35531  |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_77.pth 
| d1       | 0.552291 |
| d2       | 0.697645 |
| d3       | 0.807948 |
| abs_rel  | 0.531573 |
| sq_rel   | 0.529742 |
| rmse     | 0.647309 |
| rmse_log | 0.418338 |
| log10    | 0.148417 |
| silog    | 0.349751 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_93.pth 
| d1       | 0.561774 |
| d2       | 0.712328 |
| d3       | 0.817067 |
| abs_rel  | 0.504402 |
| sq_rel   | 0.473997 |
| rmse     | 0.618808 |
| rmse_log | 0.404669 |
| log10    | 0.143652 |
| silog    | 0.341497 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_94.pth 
| d1       | 0.560376 |
| d2       | 0.713953 |
| d3       | 0.820443 |
| abs_rel  | 0.49763  |
| sq_rel   | 0.451631 |
| rmse     | 0.606571 |
| rmse_log | 0.400614 |
| log10    | 0.142445 |
| silog    | 0.337055 |
