| network_model                | SparseAndRGBGuidedDepth                              |
| rmse     | 1.13865  |
| rmse_log | 0.817893 |
| log10    | 0.333437 |
| silog    | 0.616745 |

New model saved: weights/2022_06_30-11_13_03_AM/SparseAndRGBGuidedDepth_70.pth 
| d1       | 0.118805 |
| d2       | 0.257837 |
| d3       | 0.504764 |
| abs_rel  | 1.38545  |
| sq_rel   | 1.85877  |
| rmse     | 1.11119  |
| rmse_log | 0.805232 |
| log10    | 0.327853 |
| silog    | 0.608197 |

New model saved: weights/2022_06_30-11_13_03_AM/SparseAndRGBGuidedDepth_71.pth 
| d1       | 0.121181 |
| d2       | 0.262566 |
| d3       | 0.515883 |
| abs_rel  | 1.363    |
| sq_rel   | 1.78639  |
| rmse     | 1.09476  |
| rmse_log | 0.796473 |
| log10    | 0.324472 |
| silog    | 0.602893 |

New model saved: weights/2022_06_30-11_13_03_AM/SparseAndRGBGuidedDepth_72.pth 
| d1       | 0.140141 |
| d2       | 0.283857 |
| d3       | 0.553894 |
| abs_rel  | 1.30527  |
| sq_rel   | 1.66131  |
| rmse     | 1.0543   |
| rmse_log | 0.773171 |
| log10    | 0.313884 |
| silog    | 0.588133 |

New model saved: weights/2022_06_30-11_13_03_AM/SparseAndRGBGuidedDepth_77.pth 
| d1       | 0.13774  |
| d2       | 0.316154 |
| d3       | 0.598202 |
| abs_rel  | 1.23138  |
| sq_rel   | 1.51343  |
| rmse     | 1.01256  |
| rmse_log | 0.745669 |
| log10    | 0.301415 |
| silog    | 0.56716  |

New model saved: weights/2022_06_30-11_13_03_AM/SparseAndRGBGuidedDepth_79.pth 
| d1       | 0.139091 |
| d2       | 0.325935 |
| d3       | 0.603649 |
| abs_rel  | 1.2056   |
| sq_rel   | 1.44016  |
| rmse     | 0.989786 |
| rmse_log | 0.735774 |
| log10    | 0.297464 |
| silog    | 0.560189 |

New model saved: weights/2022_06_30-11_13_03_AM/SparseAndRGBGuidedDepth_80.pth 
| d1       | 0.148947 |
| d2       | 0.336983 |
| d3       | 0.611995 |
| abs_rel  | 1.18553  |
| sq_rel   | 1.399    |
| rmse     | 0.976706 |
| rmse_log | 0.726978 |
| log10    | 0.293443 |
| silog    | 0.555472 |

New model saved: weights/2022_06_30-11_13_03_AM/SparseAndRGBGuidedDepth_82.pth 
| d1       | 0.159143 |
| d2       | 0.35443  |
| d3       | 0.624114 |
| abs_rel  | 1.16011  |
| sq_rel   | 1.35849  |
| rmse     | 0.959353 |
| rmse_log | 0.715894 |
| log10    | 0.288033 |
| silog    | 0.549307 |

New model saved: weights/2022_06_30-11_13_03_AM/SparseAndRGBGuidedDepth_83.pth 
| d1       | 0.162816 |
| d2       | 0.366815 |
| d3       | 0.629327 |
| abs_rel  | 1.13957  |
| sq_rel   | 1.31164  |
| rmse     | 0.941416 |
